	rtt	tmp	targetedvscwnd	diff	average	output
106	0.0220055	1	0.999332	1	0.0220226	0
107	0.0220055	1	0.999332	1	0.022014	0
108	0.0220055	1	0.999332	1	0.0220055	0
109	0.0220609	0.997487	1	0	0.0220239	0
110	0.0220609	0.997487	1	0	0.0220424	0
111	0.0222014	0.991174	0.997332	4	0.0221077	0
112	0.0222014	0.991174	0.997332	4	0.0221546	0
113	0.0221542	0.993285	0.990667	14	0.0221857	0
114	0.0221542	0.993285	0.990667	14	0.02217	0
115	0.0220184	0.99941	0.992672	11	0.022109	0
116	0.0220184	0.99941	0.992672	11	0.0220637	0
117	0.0220184	0.99941	0.992672	11	0.0220184	0
118	0.0222003	0.991222	0.999334	1	0.0220791	0
119	0.0222003	0.991222	0.999334	1	0.0221397	0
120	0.0220301	0.998881	0.990685	14	0.0221436	0
121	0.0220301	0.998881	0.990685	14	0.0220869	0
122	0.0220311	0.998838	0.99867	2	0.0220304	0
123	0.0220311	0.998838	0.99867	2	0.0220307	0
124	0.0220311	0.998838	0.99867	2	0.0220311	0
125	0.0220198	0.99935	0.998768	2	0.0220273	0
126	0.0220198	0.99935	0.998768	2	0.0220235	0
127	0.0220137	0.999627	0.998769	2	0.0220177	0
128	0.0220137	0.999627	0.998769	2	0.0220157	0
129	0.0220182	0.999422	0.999385	1	0.0220152	0
130	0.0220182	0.999422	0.999385	1	0.0220167	0
131	0.0220606	0.997503	0.999385	1	0.0220323	0
132	0.0220606	0.997503	0.999385	1	0.0220464	0
133	0.0220606	0.997503	0.999385	1	0.0220606	0
134	0.0221762	0.9923	0.996929	5	0.0220991	0
135	0.0221762	0.9923	0.996929	5	0.0221377	0
136	0.0222302	0.989891	0.99202	13	0.0221942	0
137	0.0222302	0.989891	0.99202	13	0.0222122	0
138	0.0220317	0.998808	0.989571	17	0.022164	0
139	0.0220317	0.998808	0.989571	17	0.0220979	0
140	0.0220317	0.998808	0.989571	17	0.0220317	0
141	0.0220272	0.999014	0.998774	2	0.0220302	0
142	0.0220272	0.999014	0.998774	2	0.0220287	0
143	0.0222014	0.991174	0.998775	2	0.0220853	0
144	0.0222014	0.991174	0.998775	2	0.0221433	0
145	0.0221763	0.992296	0.990868	16	0.022193	0
146	0.0221763	0.992296	0.990868	16	0.0221847	0
147	0.0220238	0.999166	0.992014	14	0.0221255	0
148	0.0220238	0.999166	0.992014	14	0.0220747	0
149	0.0220238	0.999166	0.992014	14	0.0220238	0
150	0.0220305	0.998865	0.99886	2	0.022026	0
151	0.0220305	0.998865	0.99886	2	0.0220283	0
152	0.0221767	0.99228	0.99886	2	0.0220792	0
153	0.0221767	0.99228	0.99886	2	0.0221279	0
154	0.0220306	0.998861	0.992	15	0.022128	0
155	0.0220306	0.998861	0.992	15	0.0220793	0
156	0.0220306	0.998861	0.992	15	0.0220306	0
157	0.0221768	0.992276	0.998401	3	0.0220793	0
158	0.0221768	0.992276	0.998401	3	0.022128	0
159	0.0221762	0.9923	0.992009	15	0.0221766	0
160	0.0221762	0.9923	0.992009	15	0.0221764	0
161	0.0220272	0.999015	0.992013	15	0.0221265	0
162	0.0220272	0.999015	0.992013	15	0.0220769	0
163	0.0220272	0.999015	0.992013	15	0.0220272	0
164	0.0220692	0.997112	0.998936	2	0.0220412	0
165	0.0220692	0.997112	0.998936	2	0.0220552	0
166	0.0221542	0.993286	0.996809	6	0.0220975	0
167	0.0221542	0.993286	0.996809	6	0.0221259	0
168	0.0220272	0.999014	0.993089	13	0.0221119	0
169	0.0220272	0.999014	0.993089	13	0.0220695	0
170	0.0220244	0.999142	0.998937	2	0.0220262	0
171	0.0220244	0.999142	0.998937	2	0.0220253	0
172	0.0220244	0.999142	0.998937	2	0.0220244	0
173	0.0220266	0.999039	0.998938	2	0.0220251	0
174	0.0220266	0.999039	0.998938	2	0.0220259	0
175	0.0220306	0.99886	0.999001	2	0.022028	0
176	0.0220306	0.99886	0.999001	2	0.0220293	0
177	0.0220306	0.998861	0.998503	3	0.0220306	0
178	0.0220306	0.998861	0.998503	3	0.0220306	0
179	0.0220306	0.998861	0.998503	3	0.0220306	0
180	0.0221762	0.992302	0.998504	3	0.0220791	0
181	0.0221762	0.992302	0.998504	3	0.0221276	0
182	0.0221762	0.992299	0.992024	16	0.0221762	0
183	0.0221762	0.992299	0.992024	16	0.0221762	0
184	0.0220272	0.999015	0.992293	16	0.0221265	0
185	0.0220272	0.999015	0.992293	16	0.0220769	0
186	0.0220406	0.998408	0.998556	3	0.0220316	0
187	0.0220406	0.998408	0.998556	3	0.0220361	0
188	0.0220406	0.998408	0.998556	3	0.0220406	0
189	0.0220311	0.998838	0.998075	4	0.0220374	0
190	0.0220311	0.998838	0.998075	4	0.0220342	0
191	0.0220272	0.999014	0.998557	3	0.0220298	0
192	0.0220272	0.999014	0.998557	3	0.0220285	0
193	0.0220244	0.999142	0.998558	3	0.0220262	0
194	0.0220244	0.999142	0.998558	3	0.0220253	0
195	0.0220244	0.999142	0.998558	3	0.0220244	0
196	0.0220266	0.999039	0.999039	2	0.0220251	0
197	0.0220266	0.999039	0.999039	2	0.0220259	0
198	0.0221033	0.995574	0.998559	3	0.0220522	0
199	0.0221033	0.995574	0.998559	3	0.0220777	0
200	0.022025	0.999112	0.995199	10	0.0220772	0
201	0.022025	0.999112	0.995199	10	0.0220511	0
202	0.0221357	0.994115	0.99904	2	0.0220619	0
203	0.0221357	0.994115	0.99904	2	0.0220988	0
204	0.0221357	0.994115	0.99904	2	0.0221357	0
205	0.0221762	0.9923	0.994102	13	0.0221492	0
206	0.0221762	0.9923	0.994102	13	0.0221627	0
207	0.0221762	0.9923	0.994102	13	0.0221762	0
208	0.022875	0.961988	0.99229	17	0.0224092	0
209	0.022875	0.961988	0.99229	17	0.0226421	0
210	0.022875	0.961988	0.99229	17	0.022875	0
211	0.022875	0.961988	0.99229	17	0.022875	0
212	0.022875	0.961988	0.99229	17	0.022875	0
213	0.022875	0.961988	0.99229	17	0.022875	0
214	0.022875	0.961988	0.99229	17	0.022875	0
215	0.0350001	0.628726	0.961922	84	0.0269167	1
216	0.0350001	0.628726	0.961922	84	0.0309584	1
217	0.0350001	0.628726	0.961922	84	0.0350001	1
218	0.0350001	0.628726	0.961922	84	0.0350001	1
219	0.0350001	0.628726	0.961922	84	0.0350001	1
220	0.0350001	0.628726	0.961922	84	0.0350001	1
221	0.0350001	0.628726	0.961922	84	0.0350001	1
222	0.0350001	0.628726	0.961922	84	0.0350001	1
223	0.0350001	0.628726	0.961922	84	0.0350001	1
224	0.0350001	0.628726	0.961922	84	0.0350001	1
225	0.0350001	0.628726	0.961922	84	0.0350001	1
226	0.0350001	0.628726	0.961922	84	0.0350001	1
227	0.0471484	0.466727	0.628571	819	0.0390495	1
228	0.0471484	0.466727	0.628571	819	0.043099	1
229	0.0471484	0.466727	0.628571	819	0.0471484	1
230	0.0471484	0.466727	0.628571	819	0.0471484	1
231	0.0471484	0.466727	0.628571	819	0.0471484	1
232	0.0471484	0.466727	0.628571	819	0.0471484	1
233	0.0591911	0.37177	0.466667	1176	0.0511626	1
234	0.0591911	0.37177	0.466667	1176	0.0551769	1
235	0.0591911	0.37177	0.466667	1176	0.0591911	1
236	0.0591911	0.37177	0.466667	1176	0.0591911	1
237	0.0591911	0.37177	0.466667	1176	0.0591911	1
238	0.0591911	0.37177	0.466667	1176	0.0591911	1
239	0.0599247	0.367218	0.371429	1386	0.0594356	1
240	0.0599247	0.367218	0.371429	1386	0.0596802	1
241	0.0599247	0.367218	0.371429	1386	0.0599247	1
